iter	Passed	Remaining
569	824	622
570	826	620
571	827	619
572	829	617
573	830	616
574	832	614
575	833	613
576	835	612
577	836	610
578	837	609
579	839	607
580	840	606
581	842	604
582	843	603
583	844	601
584	846	600
585	847	599
586	849	597
587	850	596
588	852	594
589	853	593
590	855	591
591	856	590
592	858	589
593	859	587
594	861	586
595	862	584
596	864	583
597	865	582
598	867	580
599	868	579
600	870	577
601	871	576
602	872	574
603	874	573
604	875	571
605	877	570
606	878	568
607	880	567
608	881	566
609	883	564
610	884	563
611	886	561
612	887	560
613	888	558
614	889	557
615	891	555
616	892	554
617	893	552
618	895	550
619	896	549
620	898	548
621	899	546
622	900	545
623	902	543
624	903	542
625	905	540
626	906	539
627	907	537
628	909	536
629	910	534
630	912	533
631	913	531
632	914	530
633	916	529
634	917	527
635	919	526
636	920	524
637	922	523
638	923	521
639	925	520
640	926	519
641	928	517
642	929	516
643	931	515
644	933	513
645	934	512
646	936	510
647	937	509
648	939	508
649	940	506
650	942	505
651	943	503
652	945	502
653	946	500
654	948	499
655	949	497
656	951	496
657	952	495
658	954	493
659	955	492
660	957	490
661	958	489
662	960	488
663	961	486
664	963	485
665	964	483
666	966	482
667	967	480
668	969	479
669	970	478
670	972	476
671	973	475
672	975	473
673	976	472
674	977	470
675	979	469
676	980	468
677	982	466
678	983	465
679	985	463
680	986	462
681	988	460
682	989	459
683	991	457
684	992	456
685	994	455
686	995	453
687	997	452
688	998	450
689	1000	449
690	1001	447
691	1003	446
692	1004	445
693	1006	443
694	1007	442
695	1009	440
696	1010	439
697	1011	437
698	1013	436
699	1014	434
700	1016	433
701	1017	432
702	1019	430
703	1020	429
704	1022	427
705	1023	426
706	1025	424
707	1026	423
708	1028	422
709	1029	420
710	1031	419
711	1032	417
712	1034	416
713	1035	414
714	1037	413
715	1038	412
716	1040	410
717	1041	409
718	1043	407
719	1044	406
720	1046	404
721	1047	403
722	1049	402
723	1050	400
724	1052	399
725	1053	397
726	1055	396
727	1056	394
728	1058	393
729	1059	391
730	1061	390
731	1062	389
732	1064	387
733	1065	386
734	1066	384
735	1068	383
736	1069	381
737	1071	380
738	1072	378
739	1074	377
740	1075	375
741	1076	374
742	1078	372
743	1079	371
744	1081	370
745	1082	368
746	1084	367
747	1085	365
748	1087	364
749	1088	362
750	1090	361
751	1091	360
752	1093	358
753	1094	357
754	1096	355
755	1097	354
756	1099	352
757	1100	351
758	1102	350
759	1103	348
760	1105	347
761	1106	345
762	1108	344
763	1109	342
764	1111	341
765	1113	340
766	1114	338
767	1116	337
768	1117	335
769	1119	334
770	1120	332
771	1121	331
772	1123	329
773	1125	328
774	1126	327
775	1128	325
776	1129	324
777	1130	322
778	1132	321
779	1133	319
780	1135	318
781	1136	316
782	1137	315
783	1139	314
784	1141	312
785	1142	311
786	1144	309
787	1145	308
788	1147	306
789	1148	305
790	1150	303
791	1151	302
792	1153	300
793	1154	299
794	1156	298
795	1157	296
796	1158	295
797	1160	293
798	1161	292
799	1163	290
800	1164	289
801	1165	287
802	1167	286
803	1168	284
804	1170	283
805	1171	282
806	1173	280
807	1174	279
808	1176	277
809	1177	276
810	1178	274
811	1180	273
812	1181	271
813	1183	270
814	1184	268
815	1186	267
816	1187	265
817	1188	264
818	1190	263
819	1191	261
820	1192	260
821	1194	258
822	1195	257
823	1197	255
824	1198	254
825	1200	252
826	1201	251
827	1203	249
828	1204	248
829	1206	247
830	1207	245
831	1208	244
832	1210	242
833	1211	241
834	1213	239
835	1214	238
836	1216	236
837	1218	235
838	1219	234
839	1220	232
840	1222	231
841	1224	229
842	1225	228
843	1226	226
844	1228	225
845	1229	223
846	1231	222
847	1232	220
848	1234	219
849	1235	218
850	1237	216
851	1238	215
852	1240	213
853	1241	212
854	1243	210
855	1244	209
856	1246	207
857	1247	206
858	1249	205
859	1250	203
860	1252	202
861	1253	200
862	1255	199
863	1256	197
864	1258	196
865	1259	194
866	1261	193
867	1262	192
868	1264	190
869	1265	189
870	1267	187
871	1268	186
872	1270	184
873	1271	183
874	1272	181
875	1274	180
876	1275	178
877	1277	177
878	1278	176
879	1280	174
880	1281	173
881	1283	171
882	1284	170
883	1286	168
884	1287	167
885	1289	165
886	1290	164
887	1292	163
888	1293	161
889	1295	160
890	1296	158
891	1298	157
892	1299	155
893	1301	154
894	1302	152
895	1304	151
896	1306	149
897	1307	148
898	1310	147
899	1313	145
900	1315	144
901	1319	143
902	1322	142
903	1325	140
904	1328	139
905	1330	138
906	1333	136
907	1336	135
908	1338	133
909	1342	132
910	1345	131
911	1348	130
912	1350	128
913	1352	127
914	1354	125
915	1356	124
916	1358	122
917	1360	121
918	1362	120
919	1364	118
920	1366	117
921	1368	115
922	1370	114
923	1372	112
924	1373	111
925	1375	109
926	1376	108
927	1378	106
928	1380	105
929	1381	103
930	1383	102
931	1384	101
932	1386	99
933	1387	98
934	1389	96
935	1391	95
936	1392	93
937	1394	92
938	1395	90
939	1397	89
940	1398	87
941	1400	86
942	1401	84
943	1403	83
944	1404	81
945	1406	80
946	1408	78
947	1410	77
948	1412	75
949	1413	74
950	1415	72
951	1417	71
952	1419	69
953	1421	68
954	1422	67
955	1424	65
956	1425	64
957	1427	62
958	1428	61
959	1430	59
960	1431	58
961	1433	56
962	1434	55
963	1436	53
964	1437	52
965	1439	50
966	1440	49
967	1442	47
968	1443	46
969	1445	44
970	1446	43
971	1447	41
972	1449	40
973	1451	38
974	1452	37
975	1453	35
976	1455	34
977	1456	32
978	1458	31
979	1459	29
980	1461	28
981	1463	26
982	1464	25
983	1466	23
984	1467	22
985	1469	20
986	1470	19
987	1472	17
988	1473	16
989	1475	14
990	1476	13
991	1478	11
992	1479	10
993	1481	8
994	1482	7
995	1484	5
996	1485	4
997	1487	2
998	1488	1
999	1490	0
